Boletus badius,Imleria badia
Boletus satanas,Rubroboletus satanas
Boletus subtomentosus,Xerocomus subtomentosus
Calvatia excipuliformis,Lycoperdon excipuliforme
Cantharellus tubaeformis,Craterellus tubaeformis
Clitocybe clavipes,Ampulloclitocybe clavipes
Clitocybe gibba,Infundibulicybe gibba
Collybia dryophila,Gymnopus dryophilus
Coprinus atramentarius,Coprinopsis atramentaria
Coprinus plicatilis,Parasola plicatilis
Hebeloma longicaudum,Hebeloma leucosarx
Lactarius turpis,Lactarius necator
Lactarius volemus,Lactifluus volemus
Macrolepiota rachodes,Chlorophyllum rhacodes
Paxillus atrotomentosus,Tapinella atrotomentosa
Pholiota alnicola,Flammula alnicola
Polyporus squamosus,Cerioporus squamosus
Rozites caperatus,Cortinarius caperatus
Russula obscura,Russula vinosa
