Agaricus fissuratus,Agaricus arvensis
Amanita muscaria,Amanita muscaria var. muscaria
Armillaria mellea,Armillariella mellea
Boletus badius,Imleria badia
Boletus satanas,Rubroboletus satanas
Xerocomus subtomentosus,Boletus subtomentosus
Calvatia purpurea,Bovista plumbea
Calvatia excipuliformis,Lycoperdon excipuliforme
Infundibulicybe gibba,Clitocybe gibba
Dermocybe semisanguinea,Cortinarius semisanguineus
Nolanea verna,Entoloma vernum
Galerina unicolor,Galerina autumnalis,Galerina marginata
Dentinum repandum,Hydnum repandum
Hygrophoropsis aurantiaca,Hygrophoropsis aurantiaca var. pallida
Hypholoma capnoides,Naematoloma capnoides
Hypholoma fasciculare,Hypholoma fasciculare var. fasciculare
Hypholoma marginatum,Hypholoma dispersum
Lactarius helvus,Lactarius aquifluus
Lactarius rufus var. parvus,Lactarius rufus
Lactarius necator,Lactarius turpis
Lactarius volemus,Lactifluus volemus
Leccinum quercinum,Leccinum aurantiacum,Leccinum rufum
Leccinum chalybaeum,Leccinum scabrum,Leccinum oxydabile
Lepista nuda,Clitocybe nuda
Lycoperdon foetidum,Lycoperdon nigrescens
Morganella pyriformis,Lycoperdon pyriforme
Mycena galericulata,Mycena galericulata var. albida
Pholiota alnicola,Flammula alnicola
Polyporus squamosus,Cerioporus squamosus
Suillus grevillei var. grevillei,Suillus grevillei
Tricholoma zelleri,Tricholoma focale
